cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
40214	2	2	4	14	22	56	True
18419	1	1	1	1	1	2	False
18252	8	16	89	28	59	230	False
51046	1	2	12	11	12	38	False
51756	3	4	10	6	8	29	False
7967	2	3	5	12	18	111	False
23768	9	19	40	25	43	333	False
50659	5	7	11	15	22	62	False
35657	12	37	113	31	142	691	False
22473	1	1	1	2	2	2	False
26939	2	2	14	11	12	27	False
49929	1	1	2	1	1	2	False
50882	8	10	24	25	36	878	False
19328	8	20	69	28	56	178	False
20748	5	5	11	5	5	12	False
20723	8	20	117	31	93	1351	False
50671	2	2	2	3	5	10	False
39724	7	8	35	11	14	58	False
26727	11	22	348	29	98	461	True
34095	1	1	3	1	1	1	False
39894	1	1	3	1	1	2	False
17667	2	2	9	2	2	3	False
26745	4	5	8	17	19	184	False
50647	2	3	7	8	10	31	False
50863	7	15	73	19	33	127	False
39608	1	1	1	1	1	1	False
18264	6	8	30	15	18	211	False
31185	2	3	4	17	22	68	False
29468	11	20	63	28	62	107	False
23594	10	25	151	29	95	266	True
42159	4	6	15	19	29	45	False
24567	5	7	11	19	23	110	False
768	7	12	15	26	76	277	False
757	4	6	25	23	42	162	False
17040	4	10	12	26	67	202	False
3897	6	7	14	30	66	214	False
42157	5	9	19	19	55	145	False
33765	6	8	21	20	47	104	False
28109	8	25	71	32	83	211	True
41553	10	53	365	37	244	1376	True
46050	4	4	12	21	28	56	False
29808	2	2	3	11	12	147	False
736	9	37	102	33	135	2695	False
30756	10	17	26	31	90	545	False
28365	4	5	9	21	40	390	False
38199	1	1	1	4	4	8	False
7111	3	5	12	18	27	76	False
1431	2	2	2	2	2	2	False
30799	2	3	8	8	13	17	False
39350	6	6	9	22	54	126	False
7100	7	16	29	27	66	166	False
39981	9	22	95	29	118	734	False
13573	8	13	22	22	43	132	False
39438	1	1	1	3	3	20	False
6657	4	4	5	10	10	25	True
30761	10	19	370	31	95	822	True
3874	9	27	61	30	98	257	False
28331	2	4	9	12	14	46	False
51213	7	17	52	32	85	1228	True
28341	12	48	119	37	188	534	True
29770	5	8	14	9	14	29	False
33629	5	5	13	19	27	53	False
13819	8	14	36	20	35	199	True
31742	9	18	57	27	77	500	False
50172	6	14	35	18	32	80	False
25220	9	17	34	27	75	244	True
22137	7	14	25	24	53	113	False
24309	2	2	4	1	1	4	False
44222	5	8	20	13	14	39	False
25265	2	4	14	10	12	33	False
25229	3	5	10	8	9	96	False
48228	1	1	1	1	1	1	False
24227	13	25	91	28	91	363	False
1861	2	2	4	8	9	13	False
25201	9	15	32	24	61	371	False
1853	2	2	6	1	1	2	False
39114	1	1	2	7	7	11	False
26646	3	4	6	13	14	167	False
32129	2	2	4	6	6	8	False
45848	1	1	3	3	3	61	False
20388	4	5	12	15	25	76	False
33883	2	2	4	5	6	48	False
35306	7	14	41	22	65	678	False
20400	1	1	2	5	7	12	False
45401	4	10	18	27	62	249	False
46329	9	39	107	35	218	1071	True
45815	8	15	54	19	47	175	False
46333	2	5	8	18	31	209	False
13926	1	1	5	1	1	1	False
48588	13	69	130	34	225	1287	True
16659	3	3	8	9	10	38	False
11477	4	5	15	13	26	74	True
20550	11	37	131	36	159	500	True
10426	8	24	41	32	78	259	False
41354	9	25	90	27	78	146	False
13131	5	8	24	19	29	49	False
16687	1	1	2	5	5	5	False
37682	2	2	3	1	1	1	False
9534	11	22	71	30	70	198	False
13585	9	25	83	34	100	262	True
38562	1	1	4	1	1	2	False
39975	13	44	216	32	114	357	True
49196	1	1	4	3	3	3	True
38338	11	29	115	28	83	260	True
43845	8	12	20	24	42	86	False
38523	9	21	37	15	30	51	False
2574	2	2	4	4	4	11	False
17018	1	1	2	1	1	1	True
10079	4	7	26	19	35	1518	False
21973	1	2	6	1	1	1	False
5629	5	8	12	18	22	48	False
33194	2	2	3	3	3	3	False
33609	7	14	44	19	35	80	True
34282	2	3	13	14	19	25	False
