cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
22673	4	5	8	8	9	238	False
11517	6	6	9	2	2	2	False
21565	5	9	14	15	24	36	False
22734	1	1	1	1	1	1	False
9392	5	7	10	12	13	50	True
38694	3	3	4	2	2	6	False
29249	10	26	42	31	78	254	False
29288	7	7	19	9	9	12	False
34106	10	43	132	30	97	478	False
9410	3	6	11	4	4	17	False
16357	1	1	3	4	4	6	False
16303	1	1	6	1	1	1	False
52243	3	7	18	8	9	14	True
33336	6	10	35	14	20	48	False
9904	4	6	8	7	7	15	False
52240	7	12	18	21	32	72	False
49565	1	1	6	1	1	1	False
18558	10	22	169	25	63	179	False
46589	8	10	34	16	28	107	False
18580	5	7	8	10	14	61	False
15132	5	9	15	14	18	61	False
21555	6	8	29	16	24	58	False
16256	3	6	7	18	25	65	False
3002	2	2	3	2	3	3	False
18574	5	6	66	13	22	43	False
5019	6	10	37	19	26	64	False
42975	7	12	55	17	32	142	False
17579	1	1	1	1	1	1	False
14955	1	1	2	1	1	1	False
22172	1	1	2	3	3	4	False
30068	2	3	5	8	9	32	False
47110	3	4	11	10	11	16	False
18964	4	5	12	12	23	33	False
24478	3	5	7	8	13	16	False
21691	3	4	16	9	14	25	False
18937	8	18	35	26	41	115	False
19044	2	2	6	2	2	2	False
17426	11	28	95	31	87	234	False
21698	3	4	7	4	4	5	False
21723	4	5	10	5	7	78	False
38701	1	1	2	8	9	51	False
2085	1	1	1	1	1	6	False
20904	3	3	8	16	21	61	False
32294	8	17	228	22	36	82	False
33917	1	1	1	7	9	17	False
4624	1	1	2	3	5	18	False
7846	1	1	2	5	5	17	False
32473	1	1	4	8	9	205	False
40188	9	19	48	25	46	268	False
8845	1	1	2	1	1	2	False
43588	2	3	7	5	5	9	False
8684	9	16	22	15	21	80	False
40249	1	2	5	3	4	9	False
24862	1	1	1	3	3	12	False
43632	5	9	36	11	13	41	False
8700	7	11	19	19	37	387	False
29080	10	13	238	26	39	101	False
32457	7	8	10	18	28	108	False
1555	6	13	24	23	38	99	False
40310	1	1	2	1	1	1	False
1586	10	21	133	28	65	380	True
51745	4	4	7	11	13	134	False
23806	4	5	127	9	10	14	False
3696	1	3	4	5	5	11	False
50897	10	17	86	31	67	496	True
23548	2	2	2	3	3	10	False
39679	7	13	22	18	20	51	False
46460	1	1	2	3	4	22	False
23821	2	2	3	8	8	14	False
18790	7	10	23	19	31	125	False
35720	1	1	2	10	15	34	False
50646	9	20	90	25	50	221	False
35646	3	4	6	14	21	49	True
35677	8	14	48	18	24	54	False
17619	2	6	10	10	12	35	False
39697	1	1	1	2	2	8	False
50836	2	2	5	1	1	10	False
50870	2	4	5	12	26	45	False
39669	1	2	3	6	6	16	False
50922	2	3	7	6	7	15	False
39721	5	6	9	2	2	3	False
17607	7	19	38	20	35	104	False
39687	5	6	8	13	18	32	False
35706	4	5	10	9	12	19	True
26772	3	5	7	7	11	110	False
50704	1	2	4	1	1	2	False
19218	1	1	6	3	3	11	False
37923	2	2	5	1	1	2	False
51018	1	1	1	1	1	2	False
46488	1	1	1	1	1	1	False
37914	6	12	41	18	30	65	True
50645	2	2	2	7	8	51	True
39653	2	2	3	5	8	16	True
23787	10	23	65	27	80	645	False
23509	10	14	45	19	31	92	False
51744	3	6	13	10	12	22	False
8023	1	1	1	1	1	2	False
43165	5	5	62	18	24	60	False
23798	4	9	31	19	25	57	False
31154	5	8	43	19	40	181	False
18273	2	2	3	1	1	1	False
32625	5	7	23	19	29	119	False
30812	7	9	33	16	26	56	False
7136	2	2	4	4	4	6	False
4460	2	2	4	4	4	5	False
24600	4	7	13	11	21	58	False
38551	1	1	1	1	1	1	False
30826	2	3	10	2	2	5	True
1963	6	11	23	22	37	61	False
42965	8	11	26	21	37	163	False
42948	9	15	35	23	50	159	False
46954	1	2	2	4	5	7	False
31770	5	6	8	9	9	13	False
27673	5	7	15	9	11	18	False
783	10	24	115	30	89	592	True
36192	4	8	86	23	39	140	True
36203	2	4	5	12	14	29	False
41616	5	6	10	7	9	17	False
15751	3	5	5	14	19	41	False
10077	5	10	35	12	17	41	False
