cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
24766	1	1	2	1	1	1	False
38203	1	1	1	1	1	1	False
17360	1	1	1	1	1	1	False
23392	1	1	1	1	1	1	False
7648	1	1	2	1	2	2	False
12049	2	2	2	3	3	4	False
49671	1	1	1	1	1	2	False
32731	1	1	1	1	1	5	False
3524	1	1	1	2	2	16	False
2567	1	1	1	1	1	10	False
25823	1	1	1	2	2	8	False
44611	1	1	1	1	1	1	False
19125	1	1	3	2	2	2	False
52088	1	1	1	1	1	1	False
36159	2	2	2	2	2	2	False
8556	1	1	2	4	4	215	False
20180	3	3	5	15	19	29	False
36418	2	2	2	3	4	5	False
6580	1	1	1	1	1	2	False
20701	1	1	1	1	1	1	False
44928	1	1	2	1	1	1	False
40567	1	1	1	2	2	5	False
21780	1	1	1	1	1	2	False
27564	1	1	1	1	1	1	False
39573	1	1	1	1	1	1	False
26300	1	1	2	1	1	4	False
5277	1	1	1	2	2	5	False
47699	2	2	2	2	2	3	False
18541	1	1	2	1	1	1	False
45679	2	2	3	1	1	2	False
43382	1	1	1	2	2	2	False
16759	1	1	2	1	1	1	False
25720	2	2	5	1	1	1	False
9305	1	1	1	1	1	1	False
40125	1	1	1	1	1	1	False
2580	1	1	1	1	1	2	False
50491	1	1	1	2	2	96	False
48848	1	1	1	1	1	1	False
6966	1	1	1	1	1	1	False
11365	1	1	1	1	1	2	False
2750	2	2	3	3	3	10	False
19720	2	2	3	5	5	8	False
1150	1	1	1	2	2	3	False
43044	1	1	1	3	3	6	False
14106	1	1	1	1	1	1	False
30132	2	2	4	2	2	2	False
8865	1	1	1	1	1	1	False
34817	1	1	1	2	2	9	False
34763	2	2	5	3	3	4	False
44605	1	1	1	1	1	2	False
39082	1	1	1	1	1	7	False
35616	1	1	1	1	1	2	False
31046	2	2	2	1	1	3	False
21080	2	2	3	6	6	7	False
17349	1	1	2	1	1	1	False
49335	1	1	1	1	1	1	False
44685	2	2	3	2	2	3	False
23288	1	1	1	4	4	196	False
6047	3	3	7	2	2	2	False
47849	1	1	1	1	1	2	False
6489	1	1	1	1	1	3	False
49632	1	1	1	1	1	1	False
32209	1	1	2	1	1	31	False
19016	1	1	1	1	1	1	False
15680	1	1	1	1	1	2	False
38130	3	3	3	2	2	3	False
44764	1	1	1	1	1	5	False
24722	1	1	1	1	1	1	False
26256	1	1	1	1	1	13	False
38151	1	1	1	1	1	2	False
35	1	1	1	1	1	1	False
11367	1	1	2	1	1	1	False
52100	2	2	4	1	1	1	False
51879	1	1	1	2	2	2	False
35947	1	1	1	1	1	1	False
22705	1	1	1	1	1	1	False
49706	1	1	1	1	1	1	False
8177	1	1	1	1	1	3	False
27207	1	1	1	2	2	18	False
28523	1	1	1	1	1	1	False
31734	1	1	1	5	6	9	False
32883	1	1	1	1	1	1	False
50191	1	1	1	1	1	1	False
21055	2	2	2	4	4	6	False
1215	1	1	1	1	1	2	False
39051	1	1	1	1	1	1	False
18673	1	1	1	1	1	1	False
49776	1	1	1	1	1	1	False
21803	1	1	1	1	1	2	False
50097	2	2	2	10	11	51	False
37700	1	1	1	1	1	1	False
2151	1	1	1	1	1	1	False
26227	1	1	1	2	2	33	False
8416	1	1	1	3	3	7	False
21338	2	3	5	1	1	4	False
47789	1	1	1	1	1	1	False
47301	1	1	1	1	1	1	False
13681	1	1	1	1	1	39	False
16700	1	1	1	1	1	1	False
49784	1	1	1	1	1	1	False
8090	2	2	2	3	3	4	False
6724	1	1	1	1	1	1	False
44395	2	2	2	2	2	15	False
35637	1	1	2	1	1	2	False
16338	1	1	1	2	2	2	False
10001	1	1	1	1	1	1	False
31574	1	1	1	1	1	1	False
47782	1	1	1	1	1	1	False
23058	2	2	2	1	1	1	False
33100	1	1	1	1	1	1	False
41182	2	2	2	1	1	1	False
5058	2	2	6	1	2	2	False
48135	1	1	1	1	1	1	False
15412	1	1	266	1	2	9	False
11063	1	1	62	1	2	2	False
23690	1	1	49	3	3	4	False
7524	1	1	43	1	1	1	False
34176	1	1	19	2	2	4	False
44343	2	3	33	1	1	1	False
30019	1	1	31	2	2	8	False
3119	1	1	9	1	1	2	False
37581	1	1	10	1	1	1	False
36015	1	1	17	1	1	2	False
1906	1	1	22	1	1	1	False
44107	2	2	13	1	1	1	False
11826	1	1	7	1	1	3	False
43128	1	1	4	1	1	1	False
17870	1	1	19	1	1	1	False
26673	2	2	5	1	1	1	False
40350	1	1	9	1	1	7	False
16805	1	1	8	1	1	9	False
4898	2	2	4	7	7	23	False
27119	1	1	1	1	1	4	False
19317	1	1	6	1	1	5	False
42812	1	1	3	3	3	6	False
27838	3	3	7	1	1	2	False
39801	1	1	3	2	2	6	False
24526	2	2	10	1	1	2	False
27736	1	1	2	1	1	2	False
36660	1	1	3	1	1	1	False
4690	2	2	3	1	1	3	False
27761	1	1	2	1	1	3	False
10618	2	2	3	1	1	1	False
28988	2	2	13	1	1	1	False
38575	2	2	4	1	1	2	False
38373	1	1	5	2	2	4	False
48920	1	1	3	1	1	4	False
43794	2	2	4	2	2	2	False
31235	1	1	1	1	1	1	False
35005	1	1	1	3	3	8	False
35733	3	3	13	2	3	19	False
33660	1	1	3	3	3	8	False
2755	2	2	6	5	5	10	False
36133	1	1	2	1	1	1	False
40884	3	3	10	1	1	4	False
31893	1	1	1	1	1	2	False
17098	1	1	2	1	1	1	False
9432	4	4	21	4	4	7	False
40010	3	3	223	6	7	12	False
19684	2	2	5	1	1	19	False
14305	1	1	6	1	1	2	False
46240	1	1	2	1	1	2	False
33025	1	1	8	1	1	4	False
29295	1	1	2	11	11	1678	False
29613	1	1	2	1	1	1	False
40152	1	1	8	1	1	1	False
25341	1	1	3	3	3	4	False
36607	1	1	2	1	1	1	False
49193	2	2	5	1	1	1	False
18378	1	1	8	1	1	8	False
22552	1	1	1	1	1	1	False
28066	1	1	2	1	1	2	False
5267	1	1	4	1	1	4	False
49974	1	1	15	1	1	2	False
3402	1	1	1	1	1	1	False
38863	1	1	1	1	1	1	False
6217	2	2	2	8	10	18	False
40854	1	1	6	2	2	5	False
29290	1	1	1	1	1	52	False
41313	1	1	3	1	1	32	False
14656	2	2	16	1	1	2	False
19055	2	2	3	1	1	1	False
43155	2	3	5	2	2	6	False
36401	2	3	12	3	4	17	False
28292	1	1	1	1	1	1	False
34782	1	1	1	4	5	424	False
22987	1	1	1	1	1	1	False
46942	3	3	6	3	3	10	False
12709	1	1	1	1	1	1	False
5264	1	1	2	2	2	2	False
23969	1	1	1	1	1	4	False
45022	1	1	3	3	3	18	False
25541	2	2	5	2	2	3	False
51895	1	1	1	1	1	12	False
4589	1	1	2	1	1	1	False
45024	2	2	2	2	2	5	False
20206	1	1	2	1	1	1	False
17325	1	1	1	2	2	15	False
31273	1	1	1	1	1	1	False
18293	2	2	6	3	3	5	False
24280	3	3	3	1	1	1	False
38375	4	4	5	8	8	73	True
15468	1	1	2	2	2	46	False
578	1	1	1	1	1	1	False
11332	1	1	2	1	1	1	False
43957	2	2	15	3	3	3	False
14681	1	1	2	1	1	1	False
7617	4	4	6	9	12	95	False
25181	1	1	1	1	1	1	False
22848	1	1	1	1	1	1	False
44298	1	1	1	1	1	1	False
30644	1	1	3	2	2	12	False
37341	1	1	1	1	1	6	False
33429	1	1	2	1	1	1	False
44599	1	1	3	1	1	1	False
22944	2	2	3	5	5	11	False
28257	1	1	1	2	2	3	False
10503	2	2	2	3	5	113	False
43873	4	4	12	5	6	18	False
19546	1	1	2	1	1	1	False
12821	1	1	2	2	2	2	False
31328	3	3	7	7	7	7	False
18517	1	1	7	1	1	1	False
52086	2	2	4	3	5	9	False
2080	1	1	1	1	1	1	False
38211	1	1	1	2	2	9	False
31416	1	1	4	1	1	4	False
2780	1	1	1	1	1	2	False
11225	1	1	2	5	6	22	False
23663	1	1	1	5	5	8	False
5314	3	4	7	3	4	5	False
13468	1	1	1	4	4	5	False
24522	1	1	1	1	1	1	False
52070	4	4	4	3	3	3	True
26070	1	1	1	1	1	3	False
29982	1	1	10	1	1	1	False
37540	1	1	1	1	1	1	False
25893	1	1	1	1	1	1	False
25919	1	1	2	2	2	5	False
30636	1	1	4	1	1	3	False
12473	3	4	6	4	5	6	False
10117	3	3	4	4	4	7	False
38306	2	2	9	1	1	2	False
5567	1	1	1	1	1	4	False
17135	1	1	1	2	2	3	False
41657	1	1	1	3	3	8	False
24003	1	1	1	1	1	3	False
12302	1	1	4	1	1	1	False
28409	1	1	3	2	2	4	False
37298	2	2	3	1	1	1	False
23250	2	2	5	1	2	2	False
49569	1	1	1	2	2	4	False
1680	1	1	1	1	1	2	False
49405	1	1	1	1	1	1	False
12929	1	1	3	2	2	11	False
43377	1	1	1	2	2	2	False
12703	1	1	1	1	1	2	False
44042	1	2	4	2	2	184	False
9012	1	1	1	1	1	1	False
18169	1	1	1	1	1	2	False
13719	1	1	2	1	1	1	False
5529	2	2	2	3	3	9	False
8631	1	1	1	2	2	2	False
12378	1	1	1	2	2	3	False
50616	1	1	1	1	1	1	False
6082	3	3	3	2	3	4	False
47041	1	1	1	2	2	5	False
4884	2	2	2	1	1	31	False
30122	1	1	1	1	1	3	False
23937	1	1	1	1	1	3	False
6438	1	1	1	1	1	2	False
33176	2	2	2	3	3	3	False
22997	1	1	1	1	1	2	False
32948	1	1	1	2	2	2	False
20023	1	1	1	1	1	2	False
7359	1	1	1	2	2	5	False
50532	1	1	2	5	5	8	False
21363	1	1	2	1	1	1	False
15675	1	1	1	1	1	1	False
10005	1	1	1	1	1	2	False
48495	1	1	1	1	1	1	False
43712	1	1	1	1	1	3	False
20344	2	2	6	1	1	1	False
16685	3	3	8	10	10	15	False
31802	1	1	2	1	1	1	False
48881	1	1	3	1	1	1	False
21797	1	1	2	2	2	3	False
27229	1	1	8	1	1	1	False
14592	2	2	4	1	1	4	False
9543	3	3	3	5	8	12	False
18	1	1	1	2	2	4	False
12271	1	1	1	2	2	2	False
7494	1	1	2	1	1	2	False
211	2	2	2	3	3	3	False
19282	1	1	7	1	1	2	False
41871	1	1	2	1	1	3	False
35854	1	1	4	1	1	1	False
8876	1	1	3	1	1	2	False
20730	4	5	32	3	3	5	False
17088	2	2	3	2	2	2	False
27078	1	1	1	1	1	2	False
21014	1	1	2	2	2	8	False
19298	1	1	2	1	1	2	False
22207	1	1	1	1	1	2	False
27001	2	2	26	2	2	10	False
1762	1	1	2	1	1	4	False
34975	2	2	5	4	4	36	False
16954	1	1	3	2	2	2	False
41863	1	1	1	1	1	2	False
8661	1	1	3	2	2	3	False
43266	1	1	2	1	1	1	False
9748	1	1	3	2	2	7	False
27716	2	2	5	3	3	3	False
34540	1	1	3	1	1	12	False
16865	1	1	4	1	1	1	False
15915	2	2	3	1	1	1	False
4907	1	1	2	1	1	3	False
33693	1	1	3	2	2	4	False
7171	1	1	2	1	1	3	False
4783	1	1	1	1	1	3	False
19230	1	1	2	1	1	9	False
6279	1	1	3	1	1	1	False
13179	3	3	5	2	2	5	False
25738	1	1	1	1	1	1	False
42056	1	1	1	2	2	2	False
31371	1	1	2	3	3	6	False
7375	1	1	1	1	1	1	False
20360	1	1	2	1	1	2	False
1257	1	1	1	1	1	1	False
37150	1	1	1	1	1	1	False
32428	1	1	2	1	1	15	False
6682	1	1	1	1	1	1	False
41794	1	1	1	1	1	3	False
43454	1	1	2	1	1	1	False
20045	1	1	2	5	6	15	False
20274	1	1	2	1	1	1	False
13685	1	1	1	1	1	1	False
4282	1	1	1	1	1	1	False
27031	1	1	2	1	1	1	False
11775	1	1	1	2	2	2	False
23362	2	2	3	3	3	13	False
42475	1	1	1	1	1	1	False
5501	1	1	1	1	1	1	False
28036	1	1	1	3	3	3	False
30598	2	2	2	6	7	15	False
12064	1	1	1	1	1	2	False
29138	1	1	1	1	1	1	False
23920	1	1	1	1	1	1	False
16767	1	1	1	1	1	2	False
8430	2	2	2	1	1	2	False
7916	1	1	1	1	1	1	False
22206	2	2	2	1	1	1	False
6067	1	1	1	2	2	46	False
28688	1	1	1	1	1	1	False
1437	1	1	1	1	1	3	False
10053	1	1	1	1	1	1	False
17595	1	1	1	1	1	1	False
33118	1	1	3	1	1	3	False
50962	1	1	1	1	1	2	False
36806	2	2	2	1	1	1	False
24111	1	1	1	1	1	2	False
21360	1	1	2	1	1	4	False
48806	6	6	10	5	5	5	False
25879	1	1	1	1	1	1	False
29853	1	1	1	2	2	2	False
34511	1	1	1	1	1	3	False
20603	2	2	2	1	1	1	False
588	1	1	1	2	2	5	False
30728	1	1	1	2	2	2	False
282	1	1	1	1	1	1	False
22015	1	1	1	1	1	1	False
25386	1	1	1	1	1	1	False
37131	1	1	1	1	1	1	False
37442	3	3	7	5	6	24	False
39380	1	1	1	2	2	64	False
41244	1	1	1	2	2	4	False
28154	1	1	1	2	2	6	False
44825	1	1	1	2	2	2	False
8403	1	1	1	1	1	1	False
52072	2	2	2	2	2	2	False
6159	3	3	4	5	5	7	False
37190	1	1	1	2	2	2	False
16489	1	1	1	1	1	2	False
34527	1	1	2	1	1	1	False
16706	1	1	1	1	1	2	False
45144	1	1	1	1	1	3	False
20628	1	1	1	3	3	42	False
38747	1	1	1	2	3	3	False
23245	1	1	1	2	2	2	False
48000	1	1	2	1	1	1	False
15011	1	1	1	1	1	1	False
13484	2	2	2	3	3	3	False
6555	1	1	2	2	2	2	False
12450	1	1	2	1	1	3	False
48102	1	1	1	1	1	2	False
44845	2	2	3	1	1	2	False
38291	1	1	1	1	1	4	False
35288	1	1	1	1	1	1	False
24434	1	1	4	1	1	1	False
16020	1	1	3	1	1	3	False
15654	1	1	2	3	3	4	False
2361	1	1	3	5	5	7	False
51795	1	1	2	2	3	409	False
22245	1	1	5	1	1	2	False
3293	1	1	1	2	2	6	False
43777	1	1	4	1	1	10	False
24925	1	1	2	2	2	65	False
48274	2	3	4	3	3	4	False
15207	1	1	2	1	1	1	False
29502	1	1	1	1	1	1	False
32939	1	1	3	1	1	1	False
14067	1	1	1	1	1	1	False
39551	1	1	2	1	1	11	False
48756	1	1	1	1	1	1	False
27743	1	1	1	3	3	3	False
44773	1	1	1	1	1	1	False
26949	1	1	2	1	1	13	False
39367	4	5	9	8	8	73	False
4622	2	2	2	5	5	33	False
13316	3	4	5	2	2	85	False
42582	1	1	1	2	2	3	False
36303	1	1	1	1	1	1	False
34398	1	1	1	1	1	11	False
6863	2	3	8	1	1	5	False
33650	2	2	6	4	4	12	False
25719	2	2	3	2	2	2	False
25071	1	1	3	1	1	1	False
9610	3	3	4	1	1	1	False
44987	1	1	2	3	3	15	False
38179	1	1	1	1	1	1	False
24079	1	1	3	1	1	13	False
579	2	2	4	1	1	1	False
1466	1	1	2	1	1	2	False
35883	1	1	1	1	1	3	False
869	1	1	3	1	1	1	False
31885	1	1	2	2	2	21	False
38886	1	1	2	1	1	1	False
51080	2	2	6	1	1	1	False
35900	1	1	1	1	1	2	False
8142	1	1	1	1	1	1	False
37933	1	1	2	2	2	35	False
34522	1	1	1	2	2	3	False
4534	1	1	1	1	1	2	False
822	2	2	2	1	1	3	False
10392	1	1	1	1	1	1	False
2291	1	1	2	1	1	1	False
9296	1	1	10	1	1	4	False
52176	1	1	1	1	1	1	False
23434	1	1	2	1	1	1	False
8148	1	1	1	1	1	2	False
33418	1	1	2	2	2	2	False
34810	1	1	1	1	1	1	False
42176	1	1	1	2	2	2	False
28546	1	1	1	1	1	1	False
50578	2	2	2	1	2	4	False
52149	1	1	1	1	1	2	False
15475	1	1	3	1	1	1	False
31473	1	1	1	1	1	1	False
13174	1	1	1	1	1	1	False
50457	5	6	6	7	7	21	False
15031	1	1	1	1	1	1	False
25148	1	1	4	1	1	1	False
42745	1	1	1	1	1	4	False
41045	2	2	3	1	1	3	False
34659	2	2	2	1	1	1	False
20172	2	3	4	2	2	2	False
41765	1	1	1	3	3	6	False
47994	2	2	4	3	3	6	False
8717	4	4	17	8	9	16	False
18019	2	2	2	2	2	2	False
45671	1	1	1	1	1	1	False
11186	2	2	5	1	1	11	False
29972	1	1	1	1	1	1	False
23103	2	2	2	2	3	12	False
38644	1	1	1	1	1	1	False
34343	1	1	1	1	1	2	False
25053	2	2	2	1	1	14	False
44752	1	1	1	1	2	2	False
29543	2	2	2	3	3	3	False
5329	2	2	3	1	1	2	False
16343	1	1	1	1	1	1	False
47524	1	1	1	1	1	2	False
46944	1	1	1	4	4	5	False
37145	2	2	2	1	1	2	False
34532	1	1	1	1	1	1	False
43526	1	1	2	1	1	1	False
32951	1	1	1	1	1	1	False
48022	2	2	5	2	2	2	False
6902	1	1	1	1	1	1	False
41468	1	1	2	1	1	1	False
18492	1	1	1	1	1	5	False
47240	1	1	1	1	1	1	False
15009	2	2	2	1	1	4	False
29936	1	1	1	1	1	2	False
10566	1	1	1	2	2	3	False
26322	1	1	1	1	1	1	False
10327	1	1	2	1	1	1	False
946	1	1	1	1	1	2	False
1007	1	1	3	2	2	2	False
24340	1	1	1	1	1	1	False
14143	1	1	1	1	1	1	False
45164	3	4	4	2	2	8	False
41035	1	1	2	1	1	1	False
9669	1	1	3	1	1	1	False
26195	1	1	1	1	1	1	False
51961	2	2	2	1	1	2	False
13159	2	2	4	3	3	15	False
15792	1	1	1	1	1	3	False
47703	1	1	1	1	1	4	False
42707	1	1	1	1	1	1	False
2215	1	1	1	4	4	5	False
54	1	1	1	2	2	3	False
38805	3	4	5	2	2	3	False
32311	1	1	1	2	2	20	False
39843	1	1	1	1	1	44	False
25798	2	2	4	2	2	3	False
874	1	1	1	1	1	7	False
25514	1	1	1	1	1	1	False
13701	1	1	1	1	1	4	False
26244	1	1	1	1	1	1	False
37156	1	1	1	1	1	1	False
47438	1	1	1	4	4	6	False
3140	2	2	3	1	1	1	False
8248	1	1	1	3	3	5	True
34924	3	3	3	4	5	14	False
15854	1	1	1	1	1	3	False
52052	1	1	1	1	1	2	False
45625	3	3	4	4	5	7	False
11570	1	1	1	1	1	1	False
28412	1	1	1	2	2	4	False
44774	1	1	1	1	1	3	False
26279	1	1	1	1	1	2	False
29591	1	1	1	2	2	4	False
3479	1	1	2	1	1	1	False
9848	1	1	1	1	1	35	False
14441	1	1	2	1	1	1	False
15575	1	1	2	1	1	1	False
5571	1	1	1	1	1	1	False
31515	1	1	1	1	1	1	False
40627	2	3	4	2	2	2	False
38450	1	1	1	1	1	1	False
21216	1	1	1	1	1	2	False
51901	1	1	1	1	1	1	False
37446	2	2	3	4	5	25	False
8153	1	1	1	1	1	2	False
20663	1	1	2	1	1	2	False
16881	2	2	3	4	4	22	False
49209	3	5	9	5	10	107	False
47606	1	1	1	1	2	5	False
18528	1	1	1	1	1	1	False
29979	1	1	1	1	1	1	False
37374	1	1	1	1	1	1	False
22205	1	1	1	2	2	3	False
50732	1	1	3	1	1	1	False
29072	1	1	1	1	1	1	False
39519	2	2	3	6	6	29	False
28082	1	1	1	1	1	2	False
28399	2	2	4	4	4	5	False
43638	1	1	2	3	3	7	False
3229	1	1	1	1	1	1	False
34749	1	1	2	1	1	1	False
20330	1	1	1	1	1	1	False
15663	2	2	3	1	1	1	False
9014	1	1	2	1	1	2	False
22626	1	1	1	1	1	11	False
41733	2	2	3	1	1	1	False
9065	1	1	2	1	1	1	False
50629	1	1	3	1	1	12	False
33474	1	1	1	1	1	2	False
23402	1	1	1	1	1	1	False
13631	1	1	1	1	1	1	False
51279	4	5	5	6	7	9	False
46	1	1	2	1	1	1	False
38948	1	1	2	2	2	3	False
34717	1	1	1	2	2	7	False
39442	1	1	1	1	1	6	False
27403	1	1	1	1	1	1	False
48566	1	1	1	1	1	2	False
20618	1	1	2	1	1	5	False
5680	1	1	1	1	1	1	False
23848	1	1	1	1	1	1	False
34078	1	1	2	1	1	2	False
47786	1	1	1	2	2	4	False
18747	1	1	1	1	1	1	False
47638	1	1	2	3	5	20	False
30159	1	1	1	2	2	6	False
28280	1	1	2	1	1	1	False
36751	1	1	1	2	2	2	False
27389	1	1	1	1	1	1	False
48054	1	1	1	1	1	1	False
8302	1	1	1	2	2	2	False
34329	1	1	1	1	1	1	False
22282	1	1	1	1	1	1	False
24376	1	1	1	1	1	1	False
48182	2	2	2	8	11	32	False
19269	1	1	1	2	2	11	False
32828	3	3	3	10	10	26	False
48138	1	1	1	1	1	1	False
41217	1	1	2	3	3	10	False
9041	1	1	1	3	3	20	False
8612	1	1	1	1	1	1	False
35896	1	1	1	1	1	6	False
14280	1	1	1	1	1	1	False
19966	1	1	1	1	1	1	False
6709	1	1	2	3	3	4	False
34485	3	3	12	1	1	1	False
29301	1	1	1	2	2	4	False
31991	1	1	1	1	1	1	False
2440	1	1	1	1	1	1	False
17515	1	1	1	1	1	1	False
47141	1	1	1	1	1	1	False
31133	1	1	1	1	1	2	False
2079	1	1	1	1	1	1	False
39379	1	1	1	6	7	11	False
39382	1	1	1	2	2	12	False
45362	1	1	1	1	1	2	False
12533	1	1	2	1	1	1	False
31098	1	1	2	1	1	1	False
44581	1	1	1	1	1	1	False
980	1	1	1	1	1	1	False
5595	1	1	1	1	1	2	False
11337	1	1	1	1	1	1	False
27786	2	2	4	2	3	15	False
9200	1	1	1	1	1	1	False
41671	2	2	2	3	4	35	False
30645	1	1	1	1	1	1	False
50328	1	1	1	1	1	1	False
29555	1	1	2	1	1	1	False
22993	1	1	2	1	1	1	False
11592	1	1	1	2	2	4	False
3961	1	1	1	3	3	3	False
26579	1	1	2	1	1	3	False
25808	1	1	1	1	1	19	False
35978	2	2	2	1	1	1	False
2364	1	1	1	1	1	1	False
15455	1	1	1	1	1	1	False
40769	1	1	1	2	2	2	False
16821	2	2	2	2	2	3	False
18672	1	1	1	2	2	2	False
14791	1	1	1	3	3	6	False
25584	1	1	1	1	1	2	False
40103	1	1	1	1	1	1	False
37695	1	1	1	1	1	4	False
14750	1	1	1	2	2	2	False
50360	1	1	1	2	2	3	False
21133	1	1	1	2	2	2	False
35143	1	1	1	1	1	1	False
21178	1	1	1	5	5	16	False
47944	1	1	1	1	1	1	False
22586	2	2	2	1	1	2	False
38855	1	1	1	1	1	3	False
15855	2	2	3	1	1	3	False
30927	1	1	1	1	1	1	False
10367	1	1	1	1	1	1	False
6134	1	1	1	2	2	4	False
11992	1	1	1	1	1	2	False
21602	1	1	1	3	3	8	False
1407	1	1	1	2	2	3	False
31907	1	1	1	1	1	1	False
10829	1	1	1	1	1	1	False
49544	1	1	1	2	2	6	False
40777	1	1	1	2	2	26	False
570	1	1	1	2	2	10	False
34881	1	1	1	1	1	9	False
35141	1	1	1	1	1	1	False
47231	2	2	2	1	1	1	False
28173	1	1	1	2	2	2	False
40938	1	1	1	2	2	2	True
12553	1	1	1	2	2	2	False
14567	1	1	1	1	1	1	False
51404	1	1	1	1	1	1	False
45328	1	1	1	1	1	1	False
28124	1	1	1	13	17	29	False
40850	2	2	2	1	1	1	False
4107	2	2	2	2	2	4	False
18451	1	1	1	1	1	1	False
10373	1	1	1	2	2	2	False
49526	1	1	1	4	4	24	False
16669	2	2	4	7	8	487	False
51877	1	1	1	1	1	1	False
16719	1	1	1	1	1	4	False
12314	1	1	1	1	1	1	False
9477	1	1	2	1	1	1	False
30300	3	3	29	4	4	51	False
201	1	1	2	1	1	1	False
49249	2	2	2	2	2	2	False
7345	1	1	1	1	1	1	False
18513	1	1	1	1	1	17	False
41405	1	1	1	1	1	1	False
13280	1	1	1	1	1	2	False
2650	1	1	1	1	1	1	False
51685	1	1	1	1	1	3	False
10124	2	2	3	3	3	4	False
31834	1	1	1	1	1	1	False
47940	2	2	2	3	4	10	False
44742	1	1	1	1	1	1	False
20529	1	1	1	1	1	1	False
21536	1	1	1	1	1	1	False
2713	1	1	1	1	1	1	False
30506	1	1	1	1	1	1	False
16930	1	1	1	1	1	1	False
26271	1	1	1	2	2	11	False
24069	1	1	1	1	1	1	False
29759	1	1	1	1	1	1	False
22590	1	1	281	1	1	1	False
2947	1	1	17	3	3	17	False
12657	1	1	71	1	1	1	False
26683	1	1	27	1	1	2	False
17534	1	1	40	2	2	3	False
5700	1	1	13	1	1	1	False
22167	1	1	11	1	1	2	False
49648	2	2	25	2	2	3	False
5892	1	1	10	1	1	1	False
25323	2	2	16	1	1	1	False
30458	2	2	31	1	1	1	False
18820	3	3	21	1	1	1	False
42630	1	1	14	1	1	1	False
6471	1	1	18	1	1	1	False
3038	1	1	2	1	1	1	False
11751	1	1	9	2	2	2	False
39550	1	1	3	1	1	1	False
21850	1	1	20	1	1	1	False
29893	1	1	8	1	1	1	False
11373	1	1	9	1	1	2	False
42797	1	1	6	1	1	1	False
45485	1	1	17	1	1	16	False
3756	1	1	10	1	1	1	False
21379	1	1	11	1	1	1	False
52277	1	1	4	2	2	3	False
9316	2	2	6	1	1	7	False
46088	2	2	18	2	2	2	False
2908	1	1	1	2	2	2	False
47021	1	1	4	2	2	2	False
23722	1	1	5	1	1	1	False
44796	1	1	10	2	2	3	False
16977	1	1	13	1	1	65	False
22223	1	1	2	1	1	5	False
36397	2	2	54	2	2	27	False
15907	1	1	6	2	2	5	False
50113	2	2	55	3	4	11	False
46561	1	1	4	1	1	5	False
5657	1	1	6	2	2	3	False
4978	1	1	8	1	1	1	False
33147	2	2	10	4	4	8	False
34773	1	1	8	1	1	1	False
44628	3	3	11	1	1	1	False
9255	2	2	3	3	3	21	False
3097	1	1	2	1	1	2	False
48357	1	1	1	1	1	1	False
6652	1	1	2	1	1	1	False
48961	1	1	14	1	1	2	False
33029	1	1	6	1	1	1	False
14558	1	1	3	2	2	3	False
136	2	2	6	3	3	6	False
37155	1	1	14	1	1	1	False
6713	1	1	2	1	1	2	False
2964	1	1	1	1	1	1	False
6487	2	2	8	2	3	143	False
41191	2	2	6	4	5	13	False
41894	1	1	1	1	1	11	False
49198	1	1	6	3	4	6	False
48941	1	1	6	1	1	3	False
17104	3	4	7	6	10	34	False
38277	1	1	2	1	1	1	False
119	3	3	9	4	5	9	False
34214	1	1	6	1	1	1	False
11624	1	1	3	1	1	6	False
33530	1	1	2	2	2	14	False
30338	2	2	3	1	1	1	False
7173	1	1	2	1	1	2	False
37659	1	1	3	1	1	9	False
22682	1	1	17	2	2	5	False
45208	2	2	7	1	1	2	False
8110	1	1	2	1	1	1	False
3024	1	1	5	2	2	4	False
13117	1	1	5	1	1	2	False
7461	2	2	3	2	3	4	False
51320	1	1	2	2	4	8	False
15448	1	1	2	1	1	5	False
35892	1	1	2	1	1	2	False
48297	3	3	3	1	1	2	False
10129	1	1	2	1	1	1	False
22293	1	1	1	1	1	2	False
15033	2	2	3	2	2	16	False
41260	2	3	8	1	1	1	False
753	4	4	8	5	6	18	False
46447	1	1	2	1	1	12	False
48918	2	2	3	1	1	7	False
10623	1	1	2	1	1	2	False
5373	1	1	2	1	1	1	False
52060	1	1	5	1	1	1	False
19028	1	1	7	1	1	1	False
1671	1	1	2	1	1	8	False
27341	1	1	2	2	2	3	False
50973	1	1	2	1	1	1	False
48611	1	1	2	3	3	4	False
28285	1	1	2	1	1	2	False
18522	1	1	3	1	1	8	False
47314	1	1	2	1	1	11	False
46161	1	1	2	1	1	2	False
13664	1	1	2	2	2	2	False
5692	1	1	2	3	5	24	False
23677	1	1	3	1	1	2	False
38756	1	1	2	3	3	7	False
40470	1	1	2	3	3	5	False
8967	1	1	2	1	1	2	False
43806	1	1	3	1	1	2	False
50147	1	1	11	1	1	2	False
29947	1	1	2	1	1	2	False
6244	2	2	3	1	1	1	False
18645	2	2	3	2	2	10	False
26131	1	1	2	1	1	2	False
36089	2	2	11	2	2	2	False
40379	1	1	2	1	1	7	False
14316	1	1	2	1	1	2	False
29963	1	1	2	2	2	2	False
7897	1	1	4	1	1	1	False
40295	2	2	3	1	1	3	False
39398	1	1	2	1	1	3	False
